genomeAcc	bioprojectID	bioprojectTitle	bioprojectDec	bioprojectFlags	bioprojectHabitat	biosampleID	biosampleTitle	biosampleLocation	biosampleSource	biosampleEnvs	biosampleFlags	biosampleHabitat	sumHabitat	accession	checkm_completeness	checkm_contamination	contig_count	n50_scaffolds	genome_size	gtdb_taxonomy	gtdb_representative
GCA_903827165.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6949256	MAG LJ-5-9m_bin-0455 from assembly ERS4600458	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903827165.1	84.59	1.05	81	31240	1150644	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903831465.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6952403	MAG ErkenSummer_bin-0936 from assembly ERS4649283	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903831465.1	91.23	0	52	70994	1346150	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903907725.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6953405	MAG UppL5_bin-1100 from assembly ERS4600575	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903907725.1	85.05	2.61	264	5797	1244791	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_030653295.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36304505	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW	GB_GCA_030653295.1	97.87	0.3	166	29233	2877895	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402375	f
GCA_903848875.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947412	MAG Erken-D8_bin-1055 from assembly ERS4600399	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903848875.1	79.35	0.47	56	83636	1132992	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_023253695.1	PRJNA730330	Estuarine ecology	metagenomic study of estuaries	Brackish,Metagenome	Brackish	SAMN27163929	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	China:Esturies of South China	estuarine open water surface layer	estuarine biome [ENVO:01000020]|estuarine open water surface layer [ENVO:01001315]|estuarine water [ENVO:01000301]	Brackish,Aqua,Metagenome	Brackish	Brackish	GB_GCA_023253695.1	95.14	0.06	209	46891	2210746	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga fabula	f
GCA_927797785.1	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA12171356	Candidatus Nitrotoga sp. BS		activated sludge of the WWTP in Hamburg-Dradenau (Germany)		Modified	Modified	Modified	RS_GCF_927797785.1	95.5	1.03	121	45823	3095138	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp927797785	t
GCA_943334485.1	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14434507	ERS11712880	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943334485.1	51.75	0	86	10335	683571	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947479615.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112175555	RH-26jul17-104	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947479615.1	51.37	0.5	79	8901	681172	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947465485.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174445	RE-9nov16-380	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947465485.1	73.05	2.16	78	15492	923273	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_016106565.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622487	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Erie	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_016106565.1	94.55	0	65	44069	1386151	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947464035.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174291	RE-4nov15-90	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947464035.1	77.36	1.27	123	10474	1048576	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903866795.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6956772	MAG LJ_bin-0144 from assembly ERS4649297	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903866795.1	81.66	2.15	96	37643	1139637	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_947470295.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174773	RH-15aug16-279	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947470295.1	92.14	0.95	227	11991	2098722	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp947475825	f
GCA_927312905.1	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA10774148	Candidatus Nitrotoga sp. 1052		permafrost soil		Ice,Soil	Ice	Others	RS_GCF_927312905.1	98.34	0.3	99	62220	3233732	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp927312905	t
GCA_003402285.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011958	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. SPKER	USA:Colorado, South Platte River near Kersey	Flowing water column of South Platte River; enriched in culture for about 1.5 years	freshwater river|river water column|water column	Freshwater,Aqua,Metagenome,Warning	FW	Modified	GB_GCA_003402285.1	98.18	0.24	32	168712	2982257	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402285	t
GCA_943328345.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA110030094	ERS11712896	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943328345.2	83.22	1.06	106	16189	1205931	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903819825.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947030	MAG Erken-D9_bin-0187 from assembly ERS4600400	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903819825.1	90.49	0.63	82	49603	1353519	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_943329785.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA110041619	ERS11712897	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring	GB_GCA_943329785.2	87.23	2.65	143	10783	1251217	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_016106585.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622483	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Ontario	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_016106585.1	94.31	0	34	61396	1344778	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_009885195.1	PRJNA525692	High-Arctic lake sediments are enriched in novel Metagenome Assembled Genomes fit for low temperature and oligotrophy	The Arctic is currently experiencing climate-change related warming, which rapidly affects the environmental constraints on its microbial communities. Yet, our knowledge of the community structure and function of high Arctic freshwater microbes is still lacking, even though they play key roles in nutrient cycling. Here, using high-throughput sequencing, we show that sediment microbial communities in the High Arctic’s largest lake by volume, Lake Hazen, are highly diverse and contain novel organisms which genomes we could reconstruct.	Freshwater,Sediment,Extreme,Metagenome	FWSed.	SAMN12036158	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Canada: Lake Hazen	sediment	freshwater lake biome [ENVO:01000252]|non-saline sediment environment [ENVO_01001049]|lake sediment [ENVO_00000546]	Freshwater,Sediment,Metagenome,Extreme	FWSed.	FWSed.	GB_GCA_009885195.1	75.42	1.22	86	26998	1370642	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp009885195	t
GCA_945907325.1	PRJEB35640	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA110380626	ERS4065063	Switzerland	Freshwater lake	freshwater lake|fresh water|lake	Freshwater,Metagenome	FW	FW	GB_GCA_945907325.1	94.55	0	41	64001	1331651	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_016106575.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622486	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Michigan	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring	GB_GCA_016106575.1	93.29	0	26	66786	1324111	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_903861565.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947504	MAG Erken-D11_bin-0770 from assembly ERS4600392	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW	GB_GCA_903861565.1	93.96	0.63	73	72957	1399175	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_945878595.1	PRJEB35640	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA110380221	ERS6344555	Czech Republic	Freshwater lake	freshwater lake|fresh water|lake	Freshwater,Metagenome	FW	FW	GB_GCA_945878595.1	97.71	1.18	41	148811	2716832	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp945874105	f
GCA_030652795.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36304472	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW	GB_GCA_030652795.1	95.73	0.48	213	23806	2795452	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp003402375	f
GCA_026399715.1	PRJNA852163	Microbial communities from the meromictic Lac Pavin	Microbial communities from the water column and shallow sediments of Lac Pavin (France) were sampled across a three year time course (2017-2019). DNA was extracted and sequenced with Illumina HiSeq/NovaSeq. Subsequently, bacterial, archaeal, and viral genomes from metagenomes were assembled, binned, and characterized.	Aqua,Sediment,Metagenome	Others	SAMN30026398	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium	France: Besse-et-Saint-Anastaise, Lac Pavin	lake water column	lake water column microbiome|not applicable|not applicable	Metagenome,Freshwater,Aqua	FW	FWSed.	GB_GCA_026399715.1	86.92	4.2	420	6134	2061382	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp021413765	f
GCA_947480295.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112175921	RH-9nov16-128	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW	GB_GCA_947480295.1	65.64	0.6	101	9816	866871	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp002470125	f
GCA_030646595.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36304317	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW	GB_GCA_030646595.1	80.45	3.08	333	8207	2313143	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp030646595	t
GCA_905221025.1	PRJEB42911	Nitrotoga genome	A high quality Nitrotoga genome(Metagenome-Assembled Genome) was obtained from a nitrite-oxidizing enrichment culture originated from coastal sediment samples.	Brackish,Sediment,Modified,Metagenome	Modified	SAMEA7993254	Nitrotoga enrichment culture				Modified	Modified	Modified	RS_GCF_905221025.1	96.92	0	44	97602	2304384	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga fabula	t
GCA_021731185.1	PRJNA533545	Metagenome raw sequence reads from drinking water distribution systems with and without disinfectant residual	To investigate the impact of disinfection strategy on drinking water microbiome in distribution system	Aqua,Metagenome	Unspecified	SAMN14080629	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Netherlands	disinfectant-free drinking water, site 4	ENVO:00002030|not applicable|ENVO:00003064	Metagenome,Aqua	Unspecified	Unspecified	GB_GCA_021731185.1	86.66	2.45	253	8967	1904843	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Nitrotoga;s__Nitrotoga sp021731185	t
