genomeAcc	bioprojectID	bioprojectTitle	bioprojectDec	bioprojectFlags	bioprojectHabitat	biosampleID	biosampleTitle	biosampleLocation	biosampleSource	biosampleEnvs	biosampleFlags	biosampleHabitat	sumHabitat
GCA_947465485.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174445	RE-9nov16-380	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_016106565.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622487	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Erie	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring
GCA_947464035.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174291	RE-4nov15-90	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_903866795.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6956772	MAG LJ_bin-0144 from assembly ERS4649297	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_947470295.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112174773	RH-15aug16-279	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_927312905.1	PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains	Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	Extreme,Marine	Marine	SAMEA10774148	Candidatus Nitrotoga sp. 1052		permafrost soil		Ice,Soil	Ice	Others
GCA_003402285.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011958	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. SPKER	USA:Colorado, South Platte River near Kersey	Flowing water column of South Platte River; enriched in culture for about 1.5 years	freshwater river|river water column|water column	Freshwater,Aqua,Metagenome,Warning	FW	Modified
GCA_943328345.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA110030094	ERS11712896	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring
GCA_903819825.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947030	MAG Erken-D9_bin-0187 from assembly ERS4600400	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_943329785.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA110041619	ERS11712897	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring
GCA_016106585.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622483	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Ontario	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring
GCA_009885195.1	PRJNA525692	High-Arctic lake sediments are enriched in novel Metagenome Assembled Genomes fit for low temperature and oligotrophy	The Arctic is currently experiencing climate-change related warming, which rapidly affects the environmental constraints on its microbial communities. Yet, our knowledge of the community structure and function of high Arctic freshwater microbes is still lacking, even though they play key roles in nutrient cycling. Here, using high-throughput sequencing, we show that sediment microbial communities in the High Arctic’s largest lake by volume, Lake Hazen, are highly diverse and contain novel organisms which genomes we could reconstruct.	Freshwater,Sediment,Extreme,Metagenome	FWSed.	SAMN12036158	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Canada: Lake Hazen	sediment	freshwater lake biome [ENVO:01000252]|non-saline sediment environment [ENVO_01001049]|lake sediment [ENVO_00000546]	Freshwater,Sediment,Metagenome,Extreme	FWSed.	FWSed.
GCA_945907325.1	PRJEB35640	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA110380626	ERS4065063	Switzerland	Freshwater lake	freshwater lake|fresh water|lake	Freshwater,Metagenome	FW	FW
GCA_016106575.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622486	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Michigan	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring
GCA_903861565.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947504	MAG Erken-D11_bin-0770 from assembly ERS4600392	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_945878595.1	PRJEB35640	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	Freshwater,Aqua,Metagenome	FW	SAMEA110380221	ERS6344555	Czech Republic	Freshwater lake	freshwater lake|fresh water|lake	Freshwater,Metagenome	FW	FW
GCA_030652795.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36304472	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW
GCA_026399715.1	PRJNA852163	Microbial communities from the meromictic Lac Pavin	Microbial communities from the water column and shallow sediments of Lac Pavin (France) were sampled across a three year time course (2017-2019). DNA was extracted and sequenced with Illumina HiSeq/NovaSeq. Subsequently, bacterial, archaeal, and viral genomes from metagenomes were assembled, binned, and characterized.	Aqua,Sediment,Metagenome	Others	SAMN30026398	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium	France: Besse-et-Saint-Anastaise, Lac Pavin	lake water column	lake water column microbiome|not applicable|not applicable	Metagenome,Freshwater,Aqua	FW	FWSed.
GCA_947480295.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112175921	RH-9nov16-128	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_030646595.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36304317	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW
GCA_905221025.1	PRJEB42911	Nitrotoga genome	A high quality Nitrotoga genome(Metagenome-Assembled Genome) was obtained from a nitrite-oxidizing enrichment culture originated from coastal sediment samples.	Brackish,Sediment,Modified,Metagenome	Modified	SAMEA7993254	Nitrotoga enrichment culture				Modified	Modified	Modified
GCA_021731185.1	PRJNA533545	Metagenome raw sequence reads from drinking water distribution systems with and without disinfectant residual	To investigate the impact of disinfection strategy on drinking water microbiome in distribution system	Aqua,Metagenome	Unspecified	SAMN14080629	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	Netherlands	disinfectant-free drinking water, site 4	ENVO:00002030|not applicable|ENVO:00003064	Metagenome,Aqua	Unspecified	Unspecified
GCA_003402375.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011955	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. CP45	USA:Colorado, Cache la Poudre River near state highway 45	Flowing water column of Cache la Poudre River; enriched in culture for about 1.5 years	freshwater river|river water column|water column	Freshwater,Aqua,Metagenome,Warning	FW	Modified
GCA_947475825.1	PRJEB35770	Freshwater Metagenomes from European Lakes and Reservoirs (including time-series metagenomes)	This study describes the microbial communities of different lakes and reservoirs in Europe using high throughput metagenome sequencing. Water samples from different depths representing the epi- and hypolimnion were collected. Approximately 10L of water were pre-filtered through a plankton net (20 μm) and a 5-μm filter and then filtered onto filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm (small, planktonic fraction) and 5 μm (large, particulate fraction) filters to obtain genomic DNA of the microbial community. The study also includes time-series metagenomes.	Freshwater,Metagenome,Aqua	FW	SAMEA112175277	RH-23may17-230	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome	Freshwater,Aqua,Metagenome	FW	FW
GCA_903877485.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6947195	MAG LJ-7-9m_bin-0281 from assembly ERS4600459	Finland|Evo	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_003402345.1	PRJNA437159	freshwater metagenome Genome sequencing and assembly	Enrichment culture metagenomes of nitrifiers enriched from freshwater sediment and water column samples from rivers in Colorado, USA.	Freshwater,Metagenome,Aqua,Sediment,Modified	Modified	SAMN09011957	MIGS Cultured Bacterial/Archaeal sample from Candidatus Nitrotoga sp. MKT	USA:Colorado, Denver, Cherry Creek underneath Market street bridge	Sediment of Cherry Creek; enriched in culture for about 1.5 years	sediment permeated by freshwater|creek sediment|sediment	Sediment,Freshwater,Metagenome	FWSed.	Modified
GCA_016106535.1	PRJNA636190	freshwater metagenome	Shotgun metagenome sequences collected from each five Laurentian Great Lakes collected during the US EPA Great Lakes National Program Office Spring and Summer Surveys aboard the R/V Lake Guardian	Freshwater,Metagenome,Spring	Spring	SAMN16622482	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	USA: Lake Ontario	freshwater lake	lake|offshore|water column	Freshwater,Metagenome,Aqua	FW	Spring
GCA_943332965.1	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14435121	ERS11712895	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring
GCA_903878125.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6951792	MAG Loclat_bin-08429 from assembly ERS4649301	Switzerland|Neuchâtel	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_943328055.2	PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	Freshwater,Spring	Spring	SAMEA14434957	ERS11712892	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water	Freshwater,Metagenome	FW	Spring
GCA_903867655.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6949477	MAG Erken-D4_bin-1272 from assembly ERS4600395	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_903853395.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6950619	MAG UppL6_bin-1277 from assembly ERS4600576	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_903909865.1	PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds	Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	Freshwater,Pond,Metagenome,Aqua,Warning	FW	SAMEA6951055	MAG Erken-D10_bin-0675 from assembly ERS4600391	Sweden|Uppsala	lake water	lentic water body|lake|water	Aqua,Freshwater,Metagenome	FW	FW
GCA_030696425.1	PRJNA700657	Alberta groundwater Metagenome	Investigate the microbial diversity and functions in the Alberta groundwater	Groundwater,Metagenome	GW	SAMN36730174	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater	Groundwater,Metagenome	GW	GW
